N,R,E
372,16.68333630734853,8.61045619845791
373,16.849256240416285,8.89627263009277
374,17.21383347409654,9.018958978906575
375,16.975215168773016,8.849345288993552
376,16.949428603254553,9.19878181571884
377,16.799830511820165,8.796161689560414
378,17.244331329557205,8.936088072162692
379,17.238932845190416,9.086199070754178
380,17.142942932375288,9.255032529653342
381,18.225950335889056,9.302233553725651
382,17.0136764649249,8.758729814305694
383,17.59000153769547,9.175371259506331
384,17.41633452076551,9.040683776830841
385,17.508837128524082,9.223180743605942
386,17.58642940077703,9.133904884134543
387,17.486040736253617,9.308792496852057
388,17.64883556378817,8.952939285263149
389,17.327190267534846,8.958194344290506
390,17.184122377144842,9.129657390364507
391,17.22678648498313,9.029400048076472
392,17.649034813205283,9.204785805896314
393,17.81296624717535,8.705971037768775
394,17.678272667496312,9.383078075405026
395,17.397987665363548,8.844226095089027
396,17.613290799801394,9.272742808297513
397,17.215125190743187,8.72009771342652
398,17.57997672764198,9.582868186186323
399,17.531373670244637,9.133706157496384
400,17.386739799264586,9.041846074326942
401,17.521130154152846,9.105163816173603
402,17.7148711223674,9.231658814050245
403,17.706293642010507,9.139948174271076
404,17.56024369257811,9.13517812079918
405,17.885823557338334,9.63775974962215
406,17.647290582591356,9.335722158926751
407,17.861978738095836,9.307613296402689
408,17.868760633954214,9.329957170311914
409,17.604527057374113,9.001983543268057
410,18.056652047932914,9.585785003676014
411,18.307057892656594,9.34481048209298
412,18.04823450211261,9.214960259714022
413,18.15790542211774,9.644778958177765
414,17.654373512821156,9.148957261112797
415,18.05406980632254,9.470882429418138
416,18.47561711174054,9.447974593144318
417,18.29063737927929,9.59515694733395
418,18.137227960227317,9.449021265753782
419,17.91175250261624,9.079498411658323
420,18.5341600364612,9.242045047206135
421,18.00975936914091,9.133959493730359
422,18.183885268807053,9.53643868786418
423,18.216367597221076,9.576278792645763
424,18.32134917398954,9.433159206183136
425,18.523186753119965,9.616519331938669
426,18.224820525686752,9.277918555544309
427,18.625850295556056,9.855139698061206
428,17.759410452009195,9.264229257604953
